id,dia_da_semana,horario_de_pico,operacao_normal,estacao_de_entrada,sentido,esta_chovendo,lotacao_1_min_5_max,linha_8,linha_9
42,Quinta,Sim,Não,Osasco,Itapevi,Não,4,10.0,0.0
43,Quarta,Sim,Sim,Barueri,Itapevi,Não,5,14.0,0.0
44,Sexta,Não,Não,Jardim Belval,Palmeiras Barra Funda,Não,2,7.0,0.0
45,Domingo,Não,Sim,Com. Sampaio,Palmeiras Barra Funda,Não,2,3.0,0.0
46,Quarta,Não,Não,Eng. Cardoso,Itapevi,Não,1,7.0,0.0
47,Quarta,Não,Sim,Júlio Prestes,Palmeiras Barra Funda,Sim,1,5.0,0.0
48,Terça,Sim,Sim,Lapa,Itapevi,Não,4,13.0,0.0
49,Domingo,Sim,Sim,Itapevi,Palmeiras Barra Funda,Sim,5,11.0,0.0
50,Segunda,Sim,Sim,Lapa,Palmeiras Barra Funda,Sim,4,11.0,0.0
51,Domingo,Sim,Sim,Quitaúna,Palmeiras Barra Funda,Não,4,11.0,0.0
52,Terça,Sim,Sim,Gen. Miguel Costa,Palmeiras Barra Funda,Não,4,12.0,0.0
53,Sábado,Não,Sim,Amador Bueno,Itapevi,Não,2,5.0,0.0
54,Quarta,Sim,Sim,Santa Terezinha,Itapevi,Não,4,12.0,0.0
55,Terça,Sim,Sim,Sagrado Coração,Itapevi,Não,4,15.0,0.0
56,Terça,Sim,Sim,Pres. Altino,Palmeiras Barra Funda,Não,5,13.0,0.0
57,Sábado,Sim,Sim,Jardim Belval,Itapevi,Não,3,9.0,0.0
58,Quarta,Sim,Não,Amador Bueno,Palmeiras Barra Funda,Não,4,9.0,0.0
59,Sábado,Não,Sim,Imperatriz Leopoldina,Palmeiras Barra Funda,Não,3,6.0,0.0
60,Sábado,Não,Não,Barueri,Palmeiras Barra Funda,Não,3,7.0,0.0
61,Domingo,Não,Sim,Eng. Cardoso,Itapevi,Não,1,3.0,0.0
62,Sexta,Sim,Sim,Gen. Miguel Costa,Palmeiras Barra Funda,Não,5,13.0,0.0
63,Terça,Sim,Sim,Carapicuíba,Itapevi,Não,4,15.0,0.0
64,Terça,Sim,Sim,Jardim Silveira,Itapevi,Não,3,10.0,0.0
65,Terça,Sim,Sim,Osasco,Palmeiras Barra Funda,Não,5,13.0,0.0
66,Quarta,Não,Sim,Palmeiras Barra Funda,Itapevi,Não,3,6.0,0.0
67,Quarta,Sim,Sim,Gen. Miguel Costa,Palmeiras Barra Funda,Não,4,10.0,0.0
68,Sábado,Não,Sim,Imperatriz Leopoldina,Itapevi,Sim,3,3.0,0.0
69,Segunda,Não,Sim,Imperatriz Leopoldina,Itapevi,Não,3,6.0,0.0
70,Sábado,Sim,Sim,Júlio Prestes,Palmeiras Barra Funda,Sim,5,9.0,0.0
71,Quinta,Não,Sim,Jardim Silveira,Palmeiras Barra Funda,Não,3,8.0,0.0
72,Quinta,Não,Sim,Jardim Belval,Itapevi,Não,3,7.0,0.0
73,Terça,Sim,Sim,Júlio Prestes,Palmeiras Barra Funda,Não,5,11.0,0.0
74,Sexta,Sim,Sim,Com. Sampaio,Itapevi,Sim,4,9.0,0.0
75,Segunda,Sim,Sim,Pres. Altino,Itapevi,Não,5,10.0,0.0
76,Sábado,Sim,Sim,Jandira,Palmeiras Barra Funda,Não,4,9.0,0.0
77,Domingo,Sim,Sim,Domingo de Moraes,Itapevi,Não,4,12.0,0.0
78,Terça,Sim,Não,Antônio João,Palmeiras Barra Funda,Não,3,11.0,0.0
79,Sábado,Sim,Sim,Santa Terezinha,Itapevi,Não,5,10.0,0.0
80,Sábado,Sim,Sim,Itapevi,Itapevi,Não,4,9.0,0.0
81,Quinta,Não,Sim,Quitaúna,Itapevi,Não,3,7.0,0.0
82,Segunda,Sim,Sim,Imperatriz Leopoldina,Itapevi,Não,4,15.0,0.0
83,Domingo,Sim,Sim,Jardim Silveira,Palmeiras Barra Funda,Não,5,10.0,0.0
84,Sábado,Sim,Sim,Sagrado Coração,Palmeiras Barra Funda,Não,3,13.0,0.0
85,Sábado,Sim,Sim,Júlio Prestes,Itapevi,Sim,5,9.0,0.0
86,Quarta,Sim,Sim,Palmeiras Barra Funda,Palmeiras Barra Funda,Não,5,13.0,0.0
87,Segunda,Sim,Sim,Antônio João,Palmeiras Barra Funda,Não,3,15.0,0.0
88,Sábado,Sim,Sim,Santa Rita,Itapevi,Não,3,12.0,0.0
89,Segunda,Não,Sim,Itapevi,Palmeiras Barra Funda,Não,1,5.0,0.0
90,Quarta,Sim,Sim,Itapevi,Palmeiras Barra Funda,Não,4,15.0,0.0
91,Sábado,Não,Não,Pres. Altino,Palmeiras Barra Funda,Não,2,4.0,0.0
92,Sexta,Sim,Sim,Júlio Prestes,Palmeiras Barra Funda,Não,4,9.0,0.0
93,Sábado,Sim,Sim,Jardim Silveira,Palmeiras Barra Funda,Não,3,11.0,0.0
94,Sábado,Sim,Sim,Sagrado Coração,Itapevi,Sim,5,9.0,0.0
95,Terça,Não,Sim,Palmeiras Barra Funda,Itapevi,Não,2,4.0,0.0
96,Quinta,Não,Sim,Barueri,Itapevi,Não,3,7.0,0.0
97,Sexta,Não,Sim,Santa Terezinha,Palmeiras Barra Funda,Não,2,3.0,0.0
98,Sexta,Não,Sim,Barueri,Itapevi,Não,3,5.0,0.0
99,Sábado,Sim,Não,Santa Terezinha,Palmeiras Barra Funda,Não,3,11.0,0.0
100,Quarta,Sim,Sim,Imperatriz Leopoldina,Palmeiras Barra Funda,Não,4,11.0,0.0
101,Terça,Sim,Sim,Jardim Silveira,Palmeiras Barra Funda,Sim,5,15.0,0.0
102,Domingo,Sim,Sim,Jardim Silveira,Palmeiras Barra Funda,Não,4,13.0,0.0
103,Sábado,Sim,Sim,Carapicuíba,Palmeiras Barra Funda,Sim,3,10.0,0.0
104,Sábado,Sim,Sim,Sagrado Coração,Itapevi,Não,4,13.0,0.0
105,Domingo,Sim,Sim,Pres. Altino,Itapevi,Não,3,11.0,0.0
106,Quarta,Sim,Sim,Imperatriz Leopoldina,Itapevi,Sim,3,15.0,0.0
107,Sábado,Não,Sim,Imperatriz Leopoldina,Itapevi,Não,1,5.0,0.0
108,Sábado,Sim,Sim,Com. Sampaio,Palmeiras Barra Funda,Não,4,13.0,0.0
109,Quarta,Sim,Não,Jandira,Palmeiras Barra Funda,Sim,3,10.0,0.0
110,Terça,Sim,Sim,Lapa,Palmeiras Barra Funda,Sim,4,15.0,0.0
111,Terça,Sim,Sim,Jandira,Palmeiras Barra Funda,Não,5,15.0,0.0
112,Terça,Sim,Não,Gen. Miguel Costa,Itapevi,Não,5,15.0,0.0
113,Quinta,Sim,Não,Lapa,Palmeiras Barra Funda,Não,5,11.0,0.0
114,Domingo,Não,Sim,Domingo de Moraes,Itapevi,Não,2,3.0,0.0
115,Quarta,Sim,Sim,Osasco,Itapevi,Sim,4,9.0,0.0
116,Sexta,Sim,Sim,Quitaúna,Itapevi,Não,5,10.0,0.0
117,Segunda,Sim,Sim,Eng. Cardoso,Itapevi,Não,3,11.0,0.0
118,Quarta,Sim,Não,Osasco,Palmeiras Barra Funda,Não,3,14.0,0.0
119,Domingo,Não,Não,Lapa,Itapevi,Não,3,3.0,0.0
120,Terça,Sim,Sim,Barueri,Itapevi,Sim,5,15.0,0.0
121,Segunda,Sim,Não,Osasco,Palmeiras Barra Funda,Não,3,12.0,0.0
122,Segunda,Sim,Não,Quitaúna,Itapevi,Sim,5,9.0,0.0
123,Sexta,Sim,Sim,Domingo de Moraes,Palmeiras Barra Funda,Não,4,11.0,0.0
124,Domingo,Sim,Sim,Júlio Prestes,Itapevi,Não,5,9.0,0.0
125,Quarta,Sim,Sim,Antônio João,Itapevi,Não,3,14.0,0.0
126,Domingo,Não,Sim,Carapicuíba,Itapevi,Sim,3,5.0,0.0
127,Segunda,Sim,Sim,Palmeiras Barra Funda,Palmeiras Barra Funda,Sim,4,13.0,0.0
128,Segunda,Não,Sim,Santa Rita,Palmeiras Barra Funda,Sim,2,8.0,0.0
129,Sexta,Não,Não,Santa Terezinha,Itapevi,Não,2,3.0,0.0
130,Sexta,Sim,Sim,Júlio Prestes,Itapevi,Não,5,15.0,0.0
131,Quarta,Sim,Sim,Eng. Cardoso,Palmeiras Barra Funda,Não,4,10.0,0.0
132,Segunda,Não,Não,Eng. Cardoso,Palmeiras Barra Funda,Não,2,3.0,0.0
133,Sexta,Sim,Sim,Júlio Prestes,Itapevi,Não,5,12.0,0.0
134,Sábado,Sim,Sim,Santa Terezinha,Palmeiras Barra Funda,Não,3,15.0,0.0
135,Quarta,Sim,Não,Quitaúna,Palmeiras Barra Funda,Não,3,10.0,0.0
136,Quinta,Sim,Não,Palmeiras Barra Funda,Palmeiras Barra Funda,Não,3,15.0,0.0
137,Quarta,Sim,Sim,Lapa,Palmeiras Barra Funda,Sim,4,14.0,0.0
138,Quarta,Sim,Sim,Jardim Silveira,Itapevi,Não,4,9.0,0.0
139,Sexta,Sim,Sim,Gen. Miguel Costa,Palmeiras Barra Funda,Não,4,14.0,0.0
140,Sábado,Sim,Sim,Jardim Belval,Palmeiras Barra Funda,Não,4,15.0,0.0
141,Sexta,Sim,Sim,Jandira,Palmeiras Barra Funda,Não,4,11.0,0.0
142,Terça,Não,Sim,Quitaúna,Palmeiras Barra Funda,Não,3,3.0,0.0
143,Domingo,Sim,Não,Lapa,Palmeiras Barra Funda,Não,3,13.0,0.0
144,Quinta,Sim,Não,Santa Rita,Palmeiras Barra Funda,Não,4,13.0,0.0
145,Quarta,Não,Sim,Carapicuíba,Itapevi,Sim,2,4.0,0.0
146,Terça,Sim,Sim,Gen. Miguel Costa,Itapevi,Não,3,13.0,0.0
147,Segunda,Sim,Sim,Sagrado Coração,Palmeiras Barra Funda,Não,3,11.0,0.0
148,Terça,Sim,Sim,Quitaúna,Palmeiras Barra Funda,Não,3,14.0,0.0
149,Segunda,Não,Sim,Júlio Prestes,Itapevi,Não,1,3.0,0.0
150,Quinta,Não,Não,Osasco,Palmeiras Barra Funda,Não,2,7.0,0.0
151,Quarta,Sim,Sim,Barueri,Palmeiras Barra Funda,Não,3,9.0,0.0
152,Sábado,Sim,Não,Quitaúna,Palmeiras Barra Funda,Sim,3,12.0,0.0
153,Quarta,Sim,Sim,Quitaúna,Palmeiras Barra Funda,Não,5,10.0,0.0
154,Sexta,Sim,Sim,Domingo de Moraes,Itapevi,Sim,5,15.0,0.0
155,Quarta,Sim,Sim,Jardim Silveira,Itapevi,Sim,4,14.0,0.0
156,Domingo,Sim,Sim,Imperatriz Leopoldina,Palmeiras Barra Funda,Não,3,9.0,0.0
157,Terça,Sim,Não,Eng. Cardoso,Itapevi,Não,5,10.0,0.0
158,Terça,Sim,Sim,Pres. Altino,Palmeiras Barra Funda,Sim,3,9.0,0.0
159,Domingo,Sim,Sim,Jardim Silveira,Palmeiras Barra Funda,Não,5,14.0,0.0
160,Domingo,Não,Sim,Jandira,Palmeiras Barra Funda,Não,2,3.0,0.0
161,Domingo,Sim,Sim,Santa Rita,Itapevi,Sim,5,15.0,0.0
162,Sexta,Não,Sim,Pres. Altino,Palmeiras Barra Funda,Sim,2,6.0,0.0
163,Quinta,Sim,Sim,Jardim Silveira,Itapevi,Não,3,11.0,0.0
164,Quarta,Sim,Não,Jandira,Palmeiras Barra Funda,Não,5,11.0,0.0
165,Sábado,Sim,Sim,Palmeiras Barra Funda,Itapevi,Não,5,15.0,0.0
166,Domingo,Sim,Sim,Júlio Prestes,Itapevi,Não,5,10.0,0.0
167,Sábado,Sim,Sim,Gen. Miguel Costa,Itapevi,Não,4,9.0,0.0
168,Quinta,Sim,Sim,Barueri,Palmeiras Barra Funda,Não,5,14.0,0.0
169,Terça,Sim,Sim,Santa Rita,Itapevi,Não,4,11.0,0.0
170,Sexta,Sim,Sim,Jardim Belval,Palmeiras Barra Funda,Não,3,14.0,0.0
171,Terça,Sim,Sim,Barueri,Itapevi,Sim,5,13.0,0.0
172,Sábado,Sim,Sim,Osasco,Palmeiras Barra Funda,Não,5,15.0,0.0
173,Sexta,Sim,Sim,Itapevi,Itapevi,Não,4,11.0,0.0
174,Domingo,Sim,Sim,Carapicuíba,Itapevi,Não,4,15.0,0.0
175,Domingo,Não,Sim,Domingo de Moraes,Itapevi,Não,2,7.0,0.0
176,Terça,Não,Sim,Lapa,Itapevi,Sim,2,8.0,0.0
177,Quarta,Sim,Sim,Com. Sampaio,Palmeiras Barra Funda,Sim,4,10.0,0.0
178,Domingo,Sim,Sim,Domingo de Moraes,Itapevi,Não,4,9.0,0.0
179,Terça,Sim,Não,Jardim Silveira,Palmeiras Barra Funda,Não,3,12.0,0.0
180,Terça,Sim,Sim,Gen. Miguel Costa,Palmeiras Barra Funda,Não,5,12.0,0.0
181,Quarta,Sim,Sim,Domingo de Moraes,Palmeiras Barra Funda,Não,4,12.0,0.0
182,Sábado,Sim,Sim,Júlio Prestes,Palmeiras Barra Funda,Sim,3,13.0,0.0
183,Terça,Sim,Sim,Osasco,Itapevi,Não,4,10.0,0.0
184,Sábado,Sim,Sim,Gen. Miguel Costa,Itapevi,Não,4,11.0,0.0
185,Quinta,Sim,Sim,Carapicuíba,Itapevi,Sim,4,10.0,0.0
186,Sexta,Não,Sim,Eng. Cardoso,Itapevi,Não,2,6.0,0.0
187,Terça,Sim,Sim,Itapevi,Itapevi,Não,4,10.0,0.0
188,Terça,Sim,Sim,Santa Rita,Itapevi,Sim,4,9.0,0.0
189,Quarta,Sim,Sim,Carapicuíba,Itapevi,Não,5,10.0,0.0
190,Domingo,Sim,Sim,Pres. Altino,Palmeiras Barra Funda,Sim,3,15.0,0.0
191,Terça,Não,Sim,Imperatriz Leopoldina,Itapevi,Não,2,6.0,0.0
192,Domingo,Sim,Sim,Santa Terezinha,Palmeiras Barra Funda,Sim,4,9.0,0.0
193,Segunda,Sim,Sim,Gen. Miguel Costa,Palmeiras Barra Funda,Sim,3,13.0,0.0
194,Quinta,Não,Sim,Com. Sampaio,Palmeiras Barra Funda,Não,3,4.0,0.0
195,Quarta,Sim,Sim,Antônio João,Itapevi,Não,3,9.0,0.0
196,Terça,Sim,Sim,Domingo de Moraes,Itapevi,Sim,4,12.0,0.0
197,Terça,Não,Sim,Antônio João,Palmeiras Barra Funda,Não,1,3.0,0.0
198,Segunda,Sim,Sim,Imperatriz Leopoldina,Itapevi,Não,5,11.0,0.0
199,Domingo,Não,Sim,Eng. Cardoso,Itapevi,Sim,3,8.0,0.0
200,Quinta,Sim,Sim,Carapicuíba,Itapevi,Não,5,9.0,0.0
201,Domingo,Não,Sim,Santa Rita,Itapevi,Não,2,4.0,0.0
202,Quarta,Sim,Sim,Jardim Silveira,Palmeiras Barra Funda,Não,3,13.0,0.0
203,Sexta,Não,Não,Imperatriz Leopoldina,Palmeiras Barra Funda,Não,3,5.0,0.0
204,Terça,Sim,Não,Carapicuíba,Itapevi,Não,4,12.0,0.0
205,Quarta,Sim,Sim,Júlio Prestes,Palmeiras Barra Funda,Não,5,10.0,0.0
206,Domingo,Sim,Não,Eng. Cardoso,Palmeiras Barra Funda,Não,5,14.0,0.0
207,Quarta,Sim,Sim,Pres. Altino,Palmeiras Barra Funda,Não,3,9.0,0.0
208,Quarta,Não,Sim,Itapevi,Itapevi,Não,2,4.0,0.0
209,Quinta,Sim,Sim,Imperatriz Leopoldina,Itapevi,Não,4,15.0,0.0
210,Domingo,Não,Sim,Palmeiras Barra Funda,Palmeiras Barra Funda,Não,2,3.0,0.0
211,Quarta,Sim,Sim,Antônio João,Palmeiras Barra Funda,Não,4,10.0,0.0
212,Sábado,Sim,Não,Jardim Silveira,Palmeiras Barra Funda,Não,4,9.0,0.0
213,Quarta,Sim,Sim,Jandira,Itapevi,Não,5,14.0,0.0
214,Sexta,Sim,Sim,Antônio João,Itapevi,Não,5,10.0,0.0
215,Quinta,Sim,Sim,Imperatriz Leopoldina,Itapevi,Não,3,10.0,0.0
216,Terça,Sim,Sim,Sagrado Coração,Itapevi,Não,4,12.0,0.0
217,Sábado,Sim,Não,Gen. Miguel Costa,Itapevi,Não,4,11.0,0.0
218,Sábado,Não,Sim,Santa Terezinha,Itapevi,Não,3,8.0,0.0
219,Sábado,Sim,Sim,Santa Rita,Itapevi,Não,5,10.0,0.0
220,Quarta,Sim,Não,Eng. Cardoso,Itapevi,Não,4,9.0,0.0
221,Segunda,Não,Sim,Jandira,Itapevi,Não,3,6.0,0.0
222,Quarta,Não,Sim,Imperatriz Leopoldina,Itapevi,Não,1,3.0,0.0
223,Terça,Não,Sim,Jardim Belval,Palmeiras Barra Funda,Não,2,3.0,0.0
224,Terça,Sim,Não,Itapevi,Itapevi,Não,4,9.0,0.0
225,Terça,Sim,Não,Quitaúna,Itapevi,Não,4,13.0,0.0
226,Quarta,Sim,Não,Jandira,Palmeiras Barra Funda,Não,4,15.0,0.0
227,Sexta,Sim,Sim,Osasco,Palmeiras Barra Funda,Não,5,12.0,0.0
228,Quarta,Sim,Sim,Jandira,Itapevi,Sim,5,10.0,0.0
229,Segunda,Sim,Sim,Pres. Altino,Palmeiras Barra Funda,Não,5,9.0,0.0
230,Sexta,Sim,Sim,Palmeiras Barra Funda,Palmeiras Barra Funda,Não,5,10.0,0.0
231,Terça,Sim,Sim,Santa Rita,Palmeiras Barra Funda,Não,4,9.0,0.0
232,Sexta,Sim,Sim,Palmeiras Barra Funda,Palmeiras Barra Funda,Não,5,14.0,0.0
233,Quarta,Sim,Não,Barueri,Itapevi,Sim,5,9.0,0.0
234,Domingo,Não,Sim,Domingo de Moraes,Itapevi,Sim,1,5.0,0.0
235,Quarta,Não,Sim,Júlio Prestes,Itapevi,Não,2,6.0,0.0
236,Sexta,Sim,Sim,Sagrado Coração,Itapevi,Sim,5,14.0,0.0
237,Terça,Sim,Não,Domingo de Moraes,Itapevi,Não,5,14.0,0.0
238,Terça,Não,Sim,Antônio João,Palmeiras Barra Funda,Não,3,5.0,0.0
239,Terça,Sim,Sim,Lapa,Palmeiras Barra Funda,Não,5,14.0,0.0
240,Terça,Sim,Não,Jandira,Palmeiras Barra Funda,Não,4,14.0,0.0
241,Terça,Sim,Sim,Júlio Prestes,Itapevi,Não,4,13.0,0.0
242,Sexta,Sim,Sim,Jardim Silveira,Itapevi,Não,5,9.0,0.0
243,Segunda,Sim,Sim,Lapa,Itapevi,Não,4,11.0,0.0
244,Segunda,Não,Não,Pres. Altino,Itapevi,Não,1,6.0,0.0
245,Sábado,Não,Não,Júlio Prestes,Itapevi,Não,1,4.0,0.0
246,Segunda,Sim,Sim,Lapa,Palmeiras Barra Funda,Não,4,12.0,0.0
247,Sexta,Sim,Sim,Palmeiras Barra Funda,Palmeiras Barra Funda,Não,5,13.0,0.0
248,Quarta,Não,Sim,Gen. Miguel Costa,Itapevi,Não,3,8.0,0.0
249,Segunda,Sim,Sim,Jandira,Palmeiras Barra Funda,Não,4,12.0,0.0
250,Segunda,Não,Sim,Jandira,Palmeiras Barra Funda,Sim,2,3.0,0.0
251,Terça,Sim,Sim,Quitaúna,Palmeiras Barra Funda,Não,3,10.0,0.0
252,Segunda,Sim,Sim,Palmeiras Barra Funda,Itapevi,Não,4,15.0,0.0
253,Quinta,Não,Sim,Imperatriz Leopoldina,Palmeiras Barra Funda,Não,2,5.0,0.0
254,Sábado,Sim,Sim,Osasco,Palmeiras Barra Funda,Não,5,14.0,0.0
255,Domingo,Sim,Sim,Domingo de Moraes,Itapevi,Não,5,12.0,0.0
256,Terça,Sim,Sim,Domingo de Moraes,Palmeiras Barra Funda,Não,4,10.0,0.0
257,Sexta,Sim,Não,Amador Bueno,Palmeiras Barra Funda,Não,4,9.0,0.0
258,Sexta,Sim,Sim,Lapa,Itapevi,Não,5,11.0,0.0
259,Quarta,Não,Sim,Santa Terezinha,Itapevi,Não,3,7.0,0.0
260,Segunda,Sim,Sim,Com. Sampaio,Itapevi,Não,5,13.0,0.0
261,Quarta,Não,Sim,Lapa,Itapevi,Não,2,8.0,0.0
262,Sexta,Não,Sim,Jardim Belval,Palmeiras Barra Funda,Não,3,5.0,0.0
263,Sábado,Sim,Sim,Júlio Prestes,Palmeiras Barra Funda,Não,5,14.0,0.0
264,Domingo,Sim,Sim,Júlio Prestes,Palmeiras Barra Funda,Não,3,10.0,0.0
265,Quinta,Sim,Não,Pres. Altino,Palmeiras Barra Funda,Não,5,13.0,0.0
266,Quarta,Sim,Sim,Júlio Prestes,Itapevi,Não,4,11.0,0.0
267,Quarta,Sim,Sim,Imperatriz Leopoldina,Palmeiras Barra Funda,Não,4,10.0,0.0
268,Domingo,Não,Sim,Quitaúna,Palmeiras Barra Funda,Sim,1,4.0,0.0
269,Segunda,Sim,Sim,Imperatriz Leopoldina,Itapevi,Sim,4,14.0,0.0
270,Sexta,Não,Sim,Pres. Altino,Itapevi,Sim,2,4.0,0.0
271,Domingo,Sim,Sim,Palmeiras Barra Funda,Itapevi,Não,5,15.0,0.0
272,Quinta,Sim,Sim,Imperatriz Leopoldina,Itapevi,Não,4,9.0,0.0
273,Quarta,Sim,Sim,Lapa,Palmeiras Barra Funda,Sim,4,11.0,0.0
274,Sexta,Sim,Sim,Carapicuíba,Itapevi,Não,3,11.0,0.0
275,Quarta,Sim,Sim,Barueri,Itapevi,Não,4,15.0,0.0
276,Terça,Sim,Não,Itapevi,Itapevi,Não,3,9.0,0.0
277,Segunda,Não,Sim,Pres. Altino,Itapevi,Não,2,5.0,0.0
278,Sábado,Sim,Sim,Eng. Cardoso,Itapevi,Não,4,15.0,0.0
279,Terça,Sim,Sim,Barueri,Itapevi,Não,4,12.0,0.0
280,Quarta,Não,Sim,Osasco,Palmeiras Barra Funda,Não,2,7.0,0.0
281,Terça,Sim,Sim,Quitaúna,Itapevi,Sim,4,10.0,0.0
282,Segunda,Sim,Sim,Eng. Cardoso,Itapevi,Não,4,10.0,0.0
283,Sábado,Não,Não,Santa Terezinha,Palmeiras Barra Funda,Não,3,8.0,0.0
284,Sábado,Não,Não,Lapa,Palmeiras Barra Funda,Não,1,8.0,0.0
285,Quarta,Sim,Sim,Jardim Belval,Itapevi,Não,4,15.0,0.0
286,Quarta,Sim,Não,Lapa,Itapevi,Não,5,11.0,0.0
287,Sexta,Não,Sim,Carapicuíba,Palmeiras Barra Funda,Não,3,3.0,0.0
288,Domingo,Não,Sim,Jardim Belval,Palmeiras Barra Funda,Não,1,8.0,0.0
289,Sexta,Não,Sim,Eng. Cardoso,Itapevi,Não,3,4.0,0.0
290,Terça,Sim,Não,Imperatriz Leopoldina,Palmeiras Barra Funda,Não,5,12.0,0.0
291,Domingo,Não,Sim,Eng. Cardoso,Palmeiras Barra Funda,Não,2,5.0,0.0
292,Domingo,Sim,Não,Quitaúna,Itapevi,Não,5,15.0,0.0
293,Segunda,Sim,Sim,Osasco,Itapevi,Não,5,12.0,0.0
294,Sexta,Não,Sim,Com. Sampaio,Palmeiras Barra Funda,Sim,1,7.0,0.0
295,Terça,Não,Sim,Carapicuíba,Itapevi,Sim,3,3.0,0.0
296,Segunda,Sim,Não,Quitaúna,Palmeiras Barra Funda,Não,4,14.0,0.0
297,Domingo,Sim,Não,Jardim Silveira,Palmeiras Barra Funda,Não,4,13.0,0.0
298,Segunda,Sim,Sim,Sagrado Coração,Itapevi,Sim,5,12.0,0.0
299,Terça,Sim,Sim,Antônio João,Palmeiras Barra Funda,Sim,4,11.0,0.0
300,Domingo,Não,Sim,Antônio João,Palmeiras Barra Funda,Sim,3,3.0,0.0
301,Segunda,Não,Sim,Gen. Miguel Costa,Palmeiras Barra Funda,Não,3,6.0,0.0
302,Sábado,Sim,Sim,Gen. Miguel Costa,Palmeiras Barra Funda,Não,5,14.0,0.0
303,Sexta,Sim,Sim,Júlio Prestes,Palmeiras Barra Funda,Não,5,9.0,0.0
304,Terça,Sim,Sim,Domingo de Moraes,Itapevi,Não,4,11.0,0.0
